symbols,themes,symbol_to_themes,ideology,self_perception,writing_style
"Mene, Mene Tekel, Upharsin, authorities at Washington, Constitution, State Constitutions, Southern difficulties","Political responsibility, Neglect, Change and reform, Conflict","authorities at Washington->Political responsibility, Constitution->Change and reform, State Constitutions->Neglect, Southern difficulties->Conflict, Mene, Mene Tekel, Upharsin->Judgement","Democratic, Reformist",,"Direct, Critical"
"sale of estates, the Emperor of China, immigration of the Chinese, Alaska","economic stability, personal interest, immigration control, authority","sale of estates->economic stability, the Emperor of China->authority, immigration of the Chinese->immigration control, Alaska->personal interest","authoritarian, protectionist",,"formal, authoritative"
"Spring Valley Water Works Company, $800000, $11000000, dividends, Mayor Otis, city authorities, assessment, City and State, large amount of money, secret society, Grangers, combinations against labor or capital, no confidence, money, genial atmosphere, Imperio in Impecus, good government of the Empire, sovereign displeasure","corruption, injustice, wealth disparity, secret societies, labour and capital, lack of trust, economic instability, governance","Spring Valley Water Works Company->corruption, $800000 and $11000000->wealth disparity, dividends->wealth, Mayor Otis and city authorities->injustice, assessment->corruption, City and State->governance, large amount of money->wealth disparity, secret society and Grangers->secret societies, combinations against labor or capital->labour and capital, no confidence->lack of trust, money->economic instability, genial atmosphere->economic instability, Imperio in Impecus->governance, good government of the Empire->governance, sovereign displeasure->authority","authoritarian, interventionist, anti-corruption",,"proclamatory, authoritative, critical"
"sidewalks, Emperor, Mayor and Board of Supervisors, law, bonds","public service, accountability, political corruption, governance","sidewalks->public service, Emperor->governance, Mayor and Board of Supervisors->accountability, law->political corruption, bonds->accountability","cynical, critical",,"dialogue, satirical, confrontational"
"His Majesty of the Sandwich Islands, military, R. B. Woodward, sea-lions and poi, Sandwich Island style","respect, readiness, command, expectation, reception","His Majesty of the Sandwich Islands->respect, military->readiness, R. B. Woodward->command, sea-lions and poi->expectation, Sandwich Island style->reception",,,"formal, commanding, respectful"
"telegraphic dispatches, Norton I, Judge Hoffman, Superintendent","authority, justice, communication, impersonation","telegraphic dispatches->communication, Norton I->authority, Judge Hoffman->justice, Superintendent->impersonation",,,"formal, authoritative, commanding"
"postage stamps, detectives, Norton I., Dei Gratia Emperor of the U. S. and Protector of Mexico","fraud, authority, public treasury protection","postage stamps->fraud, detectives->authority, Norton I., Dei Gratia Emperor of the U. S. and Protector of Mexico->public treasury protection",,,"formal, authoritative, direct"
"bribery and fraud, purchasing votes, using money to obtain office, Lick Estate, donations for scientific and sanitary purposes","corruption, power, authority, wealth, philanthropy","bribery and fraud->corruption, purchasing votes->corruption, using money to obtain office->power, Lick Estate->wealth, donations for scientific and sanitary purposes->philanthropy","anti-corruption, pro-justice, pro-philanthropy",,"formal, authoritative, declarative"
"Government at Washington, Central Pacific Railroad Company, Norton I, Dei gratia Emperor, directors, stockholders","government authority, corporate responsibility, financial accountability, sovereignty","Government at Washington->government authority, Central Pacific Railroad Company->corporate responsibility, Norton I, Dei gratia Emperor->sovereignty, directors, stockholders->financial accountability","authoritarian, monarchist",,"formal, authoritative, legalistic"
"King Kalakaua, friends with sinister intentions, political advancement, vessels wanting cargoes, dock accommodations, Water Front, city authorities, bonds of the Empire, payment of the interest","politics, power, authority, manipulation, advancement, service, interest","King Kalakaua->power, friends with sinister intentions->manipulation, political advancement->politics, vessels wanting cargoes->service, dock accommodations->authority, Water Front->authority, city authorities->politics, bonds of the Empire->power, payment of the interest->interest","monarchism, imperialism",,"formal, direct, authoritative"
"Emperor’s revenues and rents, stocks, National credit, country credit, fifty cents","financial responsibility, misuse of power, national economics","Emperor’s revenues and rents->misuse of power, stocks->financial responsibility, National credit->national economics, country credit->national economics, fifty cents->financial responsibility","economic conservatism, accountability",,"formal, authoritative, critical"
"bone, the Grand Hotel, Water Companies, Gas Company","justice, rebellion, power, control","bone->justice, the Grand Hotel->rebellion, Water Companies->control, Gas Company->control",,,"imperative, authoritative, formal"
"public, women, murders, crime, season","crime, indulgence, warning, seasons","public->indulgence, women->crime, murders->crime, crime->warning, season->seasons",,,"direct, authoritative, stern"
"Emperor, Alphonso Murphy, King, Gas and Water Companies, decrees","peace, authority, control, influence","Emperor->authority, Alphonso Murphy->peace, King->control, Gas and Water Companies->influence, decrees->authority",,,"formal, authoritative, commanding"
"Imperial decrees, Norton I","political power, law and order","Imperial decrees->political power, Norton I->law and order","authoritarian, imperialistic",,"formal, assertive"
"Empress, Royalty, Palace Hotel, Imperial Residence, mining companies, Comstock lode, Empire, army","Authority, Imperialism, Property Rights, Nationalism","Empress->Authority, Royalty->Authority, Palace Hotel->Imperialism, Imperial Residence->Imperialism, mining companies->Property Rights, Comstock lode->Property Rights, Empire->Nationalism, army->Authority",,,"Formal, Commanding, Imperial"
"Louisiana troubles, State Constitutions, Louisiana Legislature, bayonet, national convention, decrees","authority, power, conflict, control, governance","Louisiana troubles->conflict, State Constitutions->governance, Louisiana Legislature->governance, bayonet->power, national convention->authority, decrees->control","autocracy, dominance",,"formal, commanding, authoritative"
